Motor,Trial,Speed,Duration,Start_Angle,End_Angle,Angle_Change,Voltage
2,11,4,0.15,1925,1998,73,12.5
2,12,4,0.15,1998,2082,84,12.5
2,13,4,0.15,2082,2139,57,12.5
2,14,4,0.15,2139,2158,19,12.5
2,15,4,0.15,2158,2227,69,12.5
2,16,4,0.15,2227,2416,189,12.5
2,17,4,0.15,2416,2572,156,12.5
2,18,4,0.15,2572,2668,96,12.5
2,19,4,0.15,2668,2754,86,12.5
2,20,4,0.15,2754,2980,226,12.5
2,21,4,0.15,2980,3265,285,12.5
2,22,4,0.15,3265,3654,389,12.5
2,23,4,0.15,3654,3990,336,12.5
2,24,4,0.15,3990,177,283,12.5
2,25,4,0.15,177,391,214,12.5
2,26,4,0.15,391,603,212,12.5
2,27,4,0.15,603,692,89,12.5
2,28,4,0.15,692,742,50,12.5
2,29,4,0.15,742,762,20,12.5
2,30,4,0.15,763,812,49,12.5
2,31,4,0.15,812,946,134,12.5
2,32,4,0.15,946,1054,108,12.5
2,33,4,0.15,1054,1135,81,12.5
2,34,4,0.15,1135,1181,46,12.5
2,35,4,0.15,1181,1247,66,12.5
2,36,4,0.15,1247,1258,11,12.5
2,37,4,0.15,1258,1329,71,12.5
2,38,4,0.15,1329,1399,70,12.5
2,39,4,0.15,1399,1452,53,12.5
2,40,4,0.15,1452,1492,40,12.5
2,41,4,0.15,1492,1562,70,12.5
2,42,4,0.15,1562,1615,53,12.5
2,43,4,0.15,1615,1634,19,12.5
2,44,4,0.15,1634,1752,118,12.5
2,45,4,0.15,1752,1839,87,12.5
2,46,4,0.15,1839,1908,69,12.5
2,47,4,0.15,1908,1985,77,12.5
2,48,4,0.15,1985,2055,70,12.5
2,49,4,0.15,2055,2135,80,12.5
2,50,4,0.15,2135,2192,57,12.5
2,51,4,0.15,2192,2369,177,12.5
2,52,4,0.15,2369,2565,196,12.5
2,53,4,0.15,2565,2679,114,12.5
2,54,4,0.15,2678,2789,111,12.5
2,55,4,0.15,2789,2960,171,12.5
2,56,4,0.15,2960,3214,254,12.5
2,57,4,0.15,3214,3617,403,12.5
2,58,4,0.15,3617,4000,383,12.5
2,59,4,0.15,4000,213,309,12.5
2,60,4,0.15,213,455,242,12.5
2,61,4,0.15,455,628,173,12.5
2,62,4,0.15,628,714,86,12.5
2,63,4,0.15,714,729,15,12.5
2,64,4,0.15,729,821,92,12.5
2,65,4,0.15,821,979,158,12.5
2,66,4,0.15,978,1122,144,12.5
2,67,4,0.15,1122,1192,70,12.5
2,68,4,0.15,1192,1239,47,12.5
2,69,4,0.15,1239,1257,18,12.5
2,70,4,0.15,1257,1307,50,12.5
2,71,4,0.15,1307,1383,76,12.5
2,72,4,0.15,1383,1424,41,12.5
2,73,4,0.15,1425,1429,4,12.5
2,74,4,0.15,1429,1455,26,12.5
2,75,4,0.15,1455,1522,67,12.5
2,76,4,0.15,1522,1569,47,12.5
2,77,4,0.15,1569,1575,6,12.5
2,78,4,0.15,1575,1592,17,12.5
2,79,4,0.15,1592,1670,78,12.5
2,80,4,0.15,1671,1809,138,12.5
2,81,4,0.15,1809,1929,120,12.5
2,82,4,0.15,1929,2070,141,12.5
2,83,4,0.15,2071,2125,54,12.5
2,84,4,0.15,2125,2199,74,12.5
2,85,4,0.15,2199,2341,142,12.5
2,86,4,0.15,2341,2514,173,12.5
2,87,4,0.15,2514,2667,153,12.5
2,88,4,0.15,2667,2824,157,12.5
2,89,4,0.15,2824,3036,212,12.5
2,90,4,0.15,3036,3362,326,12.5
2,91,4,0.15,3362,3595,233,12.5
2,92,4,0.15,3595,30,531,12.5
2,93,4,0.15,30,293,263,12.5
2,94,4,0.15,293,546,253,12.5
2,95,4,0.15,546,696,150,12.5
2,96,4,0.15,696,730,34,12.5
2,97,4,0.15,731,851,120,12.5
2,98,4,0.15,851,1026,175,12.5
2,99,4,0.15,1026,1112,86,12.5
2,0,5,0.15,1112,1769,657,12.5
2,1,5,0.15,1769,2472,703,12.5
2,2,5,0.15,2472,3258,786,12.5
2,3,5,0.15,3258,209,1047,12.5
2,4,5,0.15,209,909,700,12.5
2,5,5,0.15,909,1566,657,12.5
2,6,5,0.15,1566,2230,664,12.5
2,7,5,0.15,2230,2941,711,12.5
2,8,5,0.15,2941,3949,1008,12.5
2,9,5,0.15,3950,682,828,12.5
2,10,5,0.15,682,1306,624,12.5
2,11,5,0.15,1306,2005,699,12.5
2,12,5,0.15,2005,2687,682,12.5
2,13,5,0.15,2687,3601,914,12.5
2,14,5,0.15,3600,432,928,12.5
2,15,5,0.15,432,1113,681,12.5
2,16,5,0.15,1114,1760,646,12.5
2,17,5,0.15,1760,2441,681,12.5
2,18,5,0.15,2441,3218,777,12.5
2,19,5,0.15,3218,137,1015,12.5
2,20,5,0.15,137,854,717,12.5
2,21,5,0.15,854,1527,673,12.5
2,22,5,0.15,1527,2220,693,12.5
2,23,5,0.15,2220,2923,703,12.5
2,24,5,0.15,2923,3929,1006,12.5
2,25,5,0.15,3929,678,845,12.5
2,26,5,0.15,678,1281,603,12.5
2,27,5,0.15,1281,1973,692,12.5
2,28,5,0.15,1973,2326,353,12.5
2,29,5,0.15,2326,3514,1188,12.5
2,30,5,0.15,3514,374,956,12.5
2,31,5,0.15,374,1072,698,12.5
2,32,5,0.15,1072,1699,627,12.5
2,33,5,0.15,1699,2391,692,12.5
2,34,5,0.15,2391,3123,732,12.5
2,35,5,0.15,3123,79,1052,12.5
2,36,5,0.15,79,828,749,12.5
2,37,5,0.15,828,1491,663,12.5
2,38,5,0.15,1492,2160,668,12.5
2,39,5,0.15,2159,2850,691,12.5
2,40,5,0.15,2850,3822,972,12.5
2,41,5,0.15,3822,602,876,12.5
2,42,5,0.15,602,958,356,12.5
2,43,5,0.15,958,1903,945,12.5
2,44,5,0.15,1903,2597,694,12.5
2,45,5,0.15,2597,3426,829,12.5
2,46,5,0.15,3426,303,973,12.5
2,47,5,0.15,303,1001,698,12.5
2,48,5,0.15,1001,1654,653,12.5
2,49,5,0.15,1654,2297,643,12.5
